cod_estab,nombre,tipo,comuna,cod_comuna,region,servicio_salud,zona,inscritos_60,bajo_control_65,deteccion,ef_registro,deficit,score,prioridad,lat,lon
105500,Posta de Salud Rural Caleta Hornos,Posta de Salud Rural (PSR),La Higuera,04104,Coquimbo,Servicio de Salud Coquimbo,rural,123,0,,-0.783,0.783,8.4,Baja,-29.62403,-71.28221
121342,Centro de Salud Familiar Pulmahue,Centro de Salud Familiar (CESFAM),Padre Las Casas,09112,La Araucanía,Servicio de Salud Araucanía Sur,rural,2905,7,0.0344234079173838,-0.473,0.473,8.4,Baja,-38.77261,-72.58886
124437,Posta de Salud Rural Mañío,Posta de Salud Rural (PSR),Fresia,10104,Los Lagos,Servicio de Salud Del Reloncaví,rural,76,0,,-0.871,0.871,8.4,Baja,-41.29405,-73.60989
123408,Posta de Salud Rural Ñadi Pichi-Damas,Posta de Salud Rural (PSR),Puyehue,10304,Los Lagos,Servicio de Salud Osorno,rural,116,3,,-0.793,0.793,8.4,Baja,-40.685138,-72.806808
118702,Centro Comunitario de Salud Familiar Puerto Sur Isla Sta. María,Centro Comunitario de Salud Familiar (CECOSF),Coronel,08102,Biobío,Servicio de Salud Concepción,urbano,121,3,,-1.011,1.011,8.3,Baja,-37.04335,-73.51253
119403,Posta de Salud Rural Menque,Posta de Salud Rural (PSR),Tome,08111,Biobío,Servicio de Salud Talcahuano,urbano,171,1,,-0.941,0.941,8.3,Baja,-36.554931,-72.864771
121584,Posta de Salud Rural Faja Ricci,Posta de Salud Rural (PSR),Gorbea,09107,La Araucanía,Servicio de Salud Araucanía Sur,mixto,153,1,,-0.964,0.964,8.3,Baja,-39.13018,-72.7505
121555,Posta de Salud Rural Liumalla,Posta de Salud Rural (PSR),Villarrica,09120,La Araucanía,Servicio de Salud Araucanía Sur,mixto,170,2,,-0.941,0.941,8.3,Baja,-39.3804,-72.23668
129412,Posta de Salud Rural La Batalla,Posta de Salud Rural (PSR),Collipulli,09202,La Araucanía,Servicio de Salud Araucanía Norte,mixto,53,0,,-1.216,1.216,8.3,Baja,-38.01873,-72.07909
200299,Centro Comunitario de Salud Familiar Dr. Alberto Daiber,Centro Comunitario de Salud Familiar (CECOSF),La Unión,14201,Los Ríos,Servicio de Salud Los Rios,mixto,97,0,,-1.054,1.054,8.3,Baja,-40.305676,-73.073969
105504,Posta de Salud Rural Socavón,Posta de Salud Rural (PSR),Illapel,04201,Coquimbo,Servicio de Salud Coquimbo,mixto,120,0,,-0.999,0.999,8.2,Baja,-31.81416,-71.16041
107325,Centro de Salud Familiar Dr. Juan Carlos Baeza,Centro de Salud Familiar (CESFAM),Viña del Mar,05109,Valparaíso,Servicio de Salud Viña del Mar Quillota,,4807,6,0.0178311391126036,-0.564,0.564,8.2,Baja,-33.03199,-71.49637
116444,Posta de Salud Rural La Placeta,Posta de Salud Rural (PSR),San Clemente,07109,Maule,Servicio de Salud Del Maule,rural,9,1,,-1.604,1.604,8.2,Baja,-35.43823,-71.12586
119701,Centro Comunitario de Salud Familiar España,Centro Comunitario de Salud Familiar (CECOSF),Hualpén,08112,Biobío,Servicio de Salud Talcahuano,urbano,307,1,,-0.832,0.832,8.2,Baja,-36.79143,-73.10708
124440,Posta de Salud Rural Las Cruces ( Fresia),Posta de Salud Rural (PSR),Fresia,10104,Los Lagos,Servicio de Salud Del Reloncaví,rural,68,0,,-0.871,0.871,8.2,Baja,-41.21661,-73.59433
116532,Posta de Salud Rural Lomas de la Tercera,Posta de Salud Rural (PSR),Longaví,07403,Maule,Servicio de Salud Del Maule,rural,17,1,,-1.26,1.26,8.1,Baja,-36.05508,-71.64008
200267,Centro Comunitario de Salud Familiar Laja,Centro Comunitario de Salud Familiar (CECOSF),Laja,08304,Biobío,Servicio de Salud Biobío,mixto,5,6,,-2.63,2.63,8.1,Baja,-37.28154,-72.69649
121462,Posta de Salud Rural Pedregoso (Cunco),Posta de Salud Rural (PSR),Cunco,09103,La Araucanía,Servicio de Salud Araucanía Sur,rural,73,0,,-0.84,0.84,8.1,Baja,-38.880975,-72.129129
124415,Posta de Salud Rural Paso El Bolsón o Segundo Corral,Posta de Salud Rural (PSR),Cochamó,10103,Los Lagos,Servicio de Salud Del Reloncaví,rural,21,0,,-1.18,1.18,8.1,Baja,-42.076207,-71.864474
117469,Posta de Salud Rural Ciruelito,Posta de Salud Rural (PSR),Pinto,16106,Ñuble,Servicio de Salud Ñuble,rural,26,1,,-1.102,1.102,8.1,Baja,-36.7725,-71.82028
117462,Posta de Salud Rural Arizona,Posta de Salud Rural (PSR),San Carlos,16301,Ñuble,Servicio de Salud Ñuble,mixto,11,2,,-1.907,1.907,8.1,Baja,-36.31993,-72.03904
105436,Posta de Salud Rural El Maitén,Posta de Salud Rural (PSR),Monte Patria,04303,Coquimbo,Servicio de Salud Coquimbo,rural,15,0,,-1.301,1.301,8,Baja,-30.80592,-70.5963
128327,Centro de Salud Familiar Eleuterio Ramírez,Centro de Salud Familiar (CESFAM),Curanilahue,08205,Biobío,Servicio de Salud Arauco,urbano,2966,0,,-0.584,0.584,8,Baja,-37.48088,-73.33389
120403,Posta de Salud Rural El Durazno ( Los Ángeles),Posta de Salud Rural (PSR),Los Ángeles,08301,Biobío,Servicio de Salud Biobío,,251,3,,-0.844,0.844,8,Baja,-37.34646,-72.15291
124413,Posta de Salud Rural Sotomó,Posta de Salud Rural (PSR),Cochamó,10103,Los Lagos,Servicio de Salud Del Reloncaví,rural,20,0,,-1.18,1.18,8,Baja,-41.672807,-72.428896
124543,Posta de Salud Rural Valle El Frío,Posta de Salud Rural (PSR),Cochamó,10103,Los Lagos,Servicio de Salud Del Reloncaví,rural,19,0,,-1.18,1.18,7.9,Baja,-41.741623,-71.902605
109420,Posta de Salud Rural Chacabuco (Colina),Posta de Salud Rural (PSR),Colina,13301,Metropolitana de Santiago,Servicio de Salud Metropolitano Norte,,7,2,,-2.206,2.206,7.9,Baja,-33.029146,-70.694412
105483,Posta de Salud Rural Los Rulos,Posta de Salud Rural (PSR),Canela,04202,Coquimbo,Servicio de Salud Coquimbo,rural,9,0,,-1.526,1.526,7.8,Baja,-31.23463,-71.23268
120416,Posta de Salud Rural El Cisne,Posta de Salud Rural (PSR),Mulchén,08305,Biobío,Servicio de Salud Biobío,mixto,69,2,,-1.074,1.074,7.8,Baja,-37.91171,-72.11473
200311,Centro Comunitario de Salud Familiar Dr. Juan Damianovic,Centro Comunitario de Salud Familiar (CECOSF),Punta Arenas,12101,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,urbano,5,0,,-2.555,2.555,7.8,Baja,-53.18041,-70.95141
122428,Posta de Salud Rural Catamutún,Posta de Salud Rural (PSR),La Unión,14201,Los Ríos,Servicio de Salud Los Rios,mixto,75,0,,-1.054,1.054,7.8,Baja,-40.15685,-73.12974
