serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Centro Comunitario de Salud Familiar (CECOSF),Primario,32,384,43,1.4,23,88.8
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Hospital,"",27,324,66,1.7,84,79.6
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Hospital,Terciario,15,180,43,3.5,150,76.1
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Hospital,Primario,8,96,17,1.6,11,82.3
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,5,60,36,3.4,116,40
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Centro de Referencia de Salud (CRS),Secundario,2,24,18,3.5,63,25
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Consultorio General Rural (CGR),Primario,2,24,2,1.5,3,91.7
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Centro de Salud Mental,Secundario,2,24,22,5.5,121,8.3
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Consultorio General Urbano (CGU),Primario,1,12,1,,0,91.7
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Hospital de Día,Secundario,1,12,1,1,1,91.7
A,familias,19201021,Familia con integrante con demencia,Centro de Salud Familiar (CESFAM),Primario,319,3828,1640,12.3,20159,57.2
A,familias,19201021,Familia con integrante con demencia,Posta de Salud Rural (PSR),Primario,112,1344,231,1.9,444,82.8
A,familias,19201021,Familia con integrante con demencia,Centro Comunitario de Salud Familiar (CECOSF),Primario,96,1152,337,3.3,1123,70.7
A,familias,19201021,Familia con integrante con demencia,Hospital,"",25,300,117,17.4,2038,61
A,familias,19201021,Familia con integrante con demencia,Hospital,Primario,12,144,60,7.1,426,58.3
A,familias,19201021,Familia con integrante con demencia,Hospital,Terciario,8,96,40,22.8,911,58.3
A,familias,19201021,Familia con integrante con demencia,Consultorio General Rural (CGR),Primario,5,60,18,2.8,50,70
A,familias,19201021,Familia con integrante con demencia,Centro Comunitario de Salud Mental  (COSAM),Secundario,3,36,13,1.5,20,63.9
A,familias,19201021,Familia con integrante con demencia,Consultorio General Urbano (CGU),Primario,2,24,12,5.9,71,50
A,familias,19201021,Familia con integrante con demencia,Centro de Salud Mental,Secundario,2,24,23,21.3,489,4.2
A,familias,19201021,Familia con integrante con demencia,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,1,12,1,1,1,91.7
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro de Salud Familiar (CESFAM),Primario,459,5508,2090,2,4106,62.1
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Posta de Salud Rural (PSR),Primario,139,1668,197,1.1,219,88.2
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro Comunitario de Salud Familiar (CECOSF),Primario,115,1380,255,1.3,344,81.5
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Hospital,"",50,600,169,2.3,394,71.8
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro Comunitario de Salud Mental  (COSAM),Secundario,34,408,63,1.3,80,84.6
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Hospital,Terciario,19,228,79,3.8,304,65.4
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Hospital,Primario,15,180,60,2,120,66.7
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Consultorio General Rural (CGR),Primario,6,72,12,1.2,15,83.3
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,5,60,50,4,198,16.7
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Consultorio General Urbano (CGU),Primario,2,24,6,1,6,75
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro de Salud Mental,Secundario,2,24,24,10.9,262,0
A,ingresos_sm,05901801,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro de Referencia de Salud (CRS),Secundario,1,12,1,1,1,91.7
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Centro de Salud Familiar (CESFAM),Primario,432,5184,1966,2.3,4515,62.1
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Posta de Salud Rural (PSR),Primario,114,1368,141,1.3,177,89.7
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Centro Comunitario de Salud Familiar (CECOSF),Primario,103,1236,244,1.5,372,80.3
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Hospital,"",46,552,148,1.9,280,73.2
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Centro Comunitario de Salud Mental  (COSAM),Secundario,46,552,133,1.5,193,75.9
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Hospital,Terciario,20,240,76,2.7,205,68.3
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Hospital,Primario,14,168,41,1.5,62,75.6
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,5,60,49,3.7,181,18.3
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Consultorio General Rural (CGR),Primario,4,48,9,1.6,14,81.2
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Consultorio General Urbano (CGU),Primario,2,24,8,1.9,15,66.7
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Centro de Salud Mental,Secundario,2,24,24,16.1,386,0
A,ingresos_sm,05901802,Ingreso programa SM por Demencias - Moderado,Otro,No Aplica,1,12,1,1,1,91.7
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Centro de Salud Familiar (CESFAM),Primario,301,3612,916,1.9,1746,74.6
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Posta de Salud Rural (PSR),Primario,52,624,62,1.1,69,90.1
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Centro Comunitario de Salud Familiar (CECOSF),Primario,43,516,75,1.7,127,85.5
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Hospital,"",32,384,70,1.7,120,81.8
